PID,Arrival Time,Burst Time,Priority
1,12,14,2
2,23,13,1
3,31,19,4
4,41,14,2
5,53,9,4
6,54,1,2
7,66,4,4
8,71,8,2
9,84,6,4
10,96,8,4
11,105,16,1
12,117,5,2
13,120,10,4
14,128,17,1
15,132,4,2
16,137,22,4
17,147,22,2
18,158,11,1
19,160,13,1
20,165,17,4
21,166,15,2
22,173,13,2
23,181,11,1
24,184,18,2
25,191,13,2
26,197,4,1
27,203,2,4
28,204,3,2
29,207,15,2
30,215,1,3
31,226,10,2
32,236,22,3
33,238,6,3
34,247,14,2
35,250,10,2
36,255,9,2
37,260,14,2
38,268,12,4
39,274,20,3
40,276,19,1
41,280,18,3
42,282,12,1
43,289,23,3
44,295,20,2
45,300,8,4
46,307,15,1
47,317,12,3
48,318,18,2
49,322,20,1
50,324,17,3
51,327,3,4
52,334,7,4
53,342,16,2
54,346,1,3
55,352,21,3
56,364,19,1
57,376,1,3
58,379,6,3
59,392,13,3
60,398,2,4
61,404,14,1
62,408,13,2
63,417,1,4
64,418,16,1
65,431,22,2
66,437,19,4
67,449,3,1
68,456,7,1
69,459,10,4
70,467,9,2
71,470,20,2
72,476,6,4
73,482,17,2
74,486,6,1
75,498,6,4
76,509,8,4
77,512,14,1
78,513,5,1
79,524,1,4
80,526,15,2
81,537,23,4
82,546,17,3
83,559,7,2
84,572,11,3
85,578,16,4
86,581,12,4
87,588,20,4
88,596,11,1
89,607,1,3
90,608,19,2
91,611,18,1
92,623,13,2
93,632,20,3
94,645,17,1
95,647,21,1
96,660,6,2
97,669,9,2
98,672,19,4
99,685,13,2
